Date,Open,High,Low,Close,Volume,Adj Close
2016-11-25,13.50,13.50,13.40,13.50,72500,13.30
2016-11-24,13.50,13.80,13.50,13.50,63000,13.30
2016-11-23,13.95,14.00,13.17,13.70,214400,13.497
2016-11-22,13.75,14.10,13.75,13.95,77900,13.7433
2016-11-21,13.80,14.25,13.66,13.75,31600,13.5463
2016-11-18,13.58,14.20,13.57,13.66,53900,13.4576
2016-11-17,13.55,14.00,13.55,13.70,11000,13.497
2016-11-16,13.50,14.00,13.50,13.77,49900,13.566
2016-11-15,14.15,14.63,14.09,14.10,19300,13.8911
2016-11-14,14.97,14.97,14.20,14.20,14600,13.9896
2016-11-11,14.35,14.75,14.00,14.30,65200,14.0881
2016-11-10,14.73,14.74,14.02,14.47,121000,14.2556
2016-11-09,14.19,15.26,13.66,14.98,141400,14.7581
2016-11-08,13.50,14.24,13.39,14.22,280600,14.0093
2016-11-07,13.10,13.50,12.99,13.44,24900,13.2409
2016-11-04,13.25,13.30,12.65,12.70,66600,12.5119
2016-11-03,13.40,13.40,12.50,12.99,153000,12.7976
2016-11-02,13.75,13.95,13.30,13.31,139600,13.1128
2016-11-01,13.60,14.01,13.60,13.80,83900,13.5956
2016-10-31,13.70,14.00,13.40,13.55,410100,13.3493
2016-10-28,13.20,13.85,12.80,13.40,292300,13.2015
2016-10-27,14.00,14.35,12.45,12.72,171200,12.5316
2016-10-26,15.00,15.00,13.91,13.91,292400,13.7039
2016-10-25,15.00,15.50,14.51,14.95,20200,14.7285
2016-10-24,15.75,15.75,14.25,14.95,106600,14.7285
2016-10-21,15.55,15.75,15.00,15.12,122900,14.896
2016-10-20,15.69,15.69,15.55,15.55,3900,15.3196
2016-10-19,14.62,15.72,14.52,15.32,67400,15.093
2016-10-18,14.61,15.49,14.61,14.97,20700,14.7482
2016-10-17,15.05,15.80,14.80,15.50,40300,15.2704
2016-10-14,15.00,15.80,15.00,15.50,2700,15.2704
2016-10-13,15.90,15.90,15.00,15.10,239000,14.8763
2016-10-12,15.82,16.00,15.36,15.99,55400,15.7531
2016-10-11,15.29,16.20,15.29,15.90,151200,15.6644
2016-10-10,16.01,16.99,15.50,16.05,143200,15.8122
2016-10-07,15.00,16.50,15.00,16.50,191500,16.2556
2016-10-06,15.00,15.99,15.00,15.61,2214300,15.3787
2016-10-05,15.00,15.48,14.60,15.07,1038000,14.8467
2016-10-04,14.75,15.49,14.37,15.49,374700,15.2605
2016-10-03,14.50,15.00,14.05,14.40,857600,14.1867
2016-09-30,14.69,15.00,14.00,14.09,362500,13.8813
2016-09-29,14.81,14.90,14.54,14.70,264400,14.4822
2016-09-28,14.89,15.40,14.85,14.85,222900,14.63
2016-09-27,14.91,15.00,14.80,14.90,206600,14.6793
2016-09-26,15.40,15.40,14.80,15.34,305200,15.1127
2016-09-23,15.00,15.00,14.82,14.82,103900,14.6004
2016-09-22,15.00,15.40,14.56,15.11,303100,14.8861
2016-09-21,15.00,15.00,14.11,14.50,79600,14.2852
2016-09-20,15.25,15.25,14.15,14.70,65300,14.4822
2016-09-19,15.60,15.60,14.53,15.00,223000,14.7778
2016-09-16,14.97,16.00,14.97,15.00,239100,14.7778
2016-09-15,15.40,15.40,14.26,15.00,131800,14.7778
2016-09-14,15.38,15.60,15.10,15.10,94900,14.8763
2016-09-13,15.60,15.60,15.30,15.40,11300,15.1719
2016-09-12,15.60,16.00,15.50,15.60,1434000,15.3689
2016-09-09,15.60,16.00,15.49,15.60,26500,15.3689
