Date,Open,High,Low,Close,Volume,Adj Close
2016-11-25,46.790001,47.02,46.540001,46.880001,44100,46.880001
2016-11-23,47.00,47.400002,47.00,47.23,32400,47.23
2016-11-22,47.200001,47.630001,47.07,47.599998,18100,47.599998
2016-11-21,47.779999,47.84,47.459999,47.66,11400,47.66
2016-11-18,47.779999,47.790001,47.41,47.490002,5700,47.490002
2016-11-17,47.029999,47.950001,47.029999,47.919998,17000,47.919998
2016-11-16,46.919998,47.34,46.919998,47.23,61500,47.23
2016-11-15,45.799999,46.259998,45.799999,46.25,3400,46.25
2016-11-14,45.099998,45.580002,45.049999,45.540001,8200,45.540001
2016-11-11,46.119999,46.169998,45.299999,45.400002,16400,45.400002
2016-11-10,45.869999,46.200001,45.869999,45.880001,3600,45.880001
2016-11-09,45.43,45.779999,44.93,45.130001,12600,45.130001
2016-11-08,45.560001,46.439999,45.50,45.50,6600,45.50
2016-11-07,45.82,45.82,45.27,45.369999,1300,45.369999
2016-11-04,45.07,45.34,45.060001,45.330002,1000,45.330002
2016-11-03,45.240002,45.349998,44.950001,44.959999,1400,44.959999
2016-11-02,45.169998,45.439999,45.169998,45.389999,3100,45.389999
2016-11-01,45.490002,46.150002,45.150002,46.150002,4200,46.150002
2016-10-31,46.009998,46.009998,45.57,45.650002,13900,45.650002
2016-10-28,46.709999,47.029999,46.709999,47.02,5200,47.02
2016-10-27,45.849998,46.349998,45.799999,46.209999,6200,46.209999
2016-10-26,45.439999,46.099998,45.439999,45.91,2800,45.91
2016-10-25,45.110001,45.490002,45.110001,45.349998,1700,45.349998
2016-10-24,45.709999,45.709999,45.549999,45.610001,2500,45.610001
2016-10-21,45.650002,45.849998,45.549999,45.77,6000,45.77
2016-10-20,47.279999,47.380001,45.919998,46.220001,10100,46.220001
2016-10-19,46.970001,47.200001,46.889999,47.189999,12900,47.189999
2016-10-18,47.169998,47.630001,47.09,47.110001,18700,47.110001
2016-10-17,46.799999,47.27,46.779999,47.27,11200,47.27
2016-10-14,46.650002,46.919998,46.639999,46.849998,2600,46.849998
2016-10-13,45.560001,46.299999,45.560001,45.93,1900,45.93
2016-10-12,44.209999,46.150002,44.189999,45.689999,33200,45.689999
2016-10-11,44.540001,44.540001,44.419998,44.419998,800,44.419998
2016-10-10,44.759998,45.00,44.540001,44.540001,20600,44.540001
2016-10-07,44.66,44.889999,44.189999,44.209999,24900,44.209999
2016-10-06,44.490002,44.709999,44.220001,44.650002,9000,44.650002
2016-10-05,45.419998,45.66,44.549999,44.759998,24300,44.759998
2016-10-04,45.599998,46.240002,45.599998,46.189999,9800,46.189999
2016-10-03,44.810001,45.50,44.810001,45.310001,3700,45.310001
